                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.93413,                0.62258,                 1.1255,                0.87514,                0.89103,                0.89934,                0.59225,                 1.2021,                0.63274,                 1.3197,              0.0090991,              0.0090991,              0.0090991
                     94,                0.92196,                0.62031,                 1.1219,                0.78985,                0.90687,                0.84928,                0.54519,                 1.2583,                0.71443,                 1.3607,              0.0090892,              0.0090892,              0.0090892
                     95,                0.92849,                0.61559,                 1.1226,                   0.89,                0.90302,                0.91592,                0.59659,                 1.2079,                0.60566,                 1.3295,              0.0090793,              0.0090793,              0.0090793
                     96,                0.93228,                0.61606,                 1.1267,                 0.8324,                0.89519,                0.88992,                0.57968,                 1.2407,                0.67834,                 1.3578,              0.0090694,              0.0090694,              0.0090694
                     97,                0.92136,                0.61741,                 1.1202,                0.86819,                0.87674,                 0.9078,                0.59028,                 1.2289,                0.62287,                 1.3436,              0.0090595,              0.0090595,              0.0090595
                     98,                0.91977,                0.61283,                 1.1175,                0.84375,                0.88159,                0.88007,                0.57947,                 1.2093,                0.66187,                 1.3531,              0.0090496,              0.0090496,              0.0090496
                     99,                0.91355,                0.60021,                 1.1107,                0.83242,                0.91538,                0.88954,                0.57562,                   1.22,                0.64622,                 1.3523,              0.0090397,              0.0090397,              0.0090397
                    100,                0.89915,                0.60055,                 1.1026,                0.87477,                0.88709,                0.90506,                0.58442,                 1.2405,                0.62669,                 1.3642,              0.0090298,              0.0090298,              0.0090298
                    101,                0.91863,                0.59977,                  1.109,                0.87633,                0.88175,                0.90611,                0.58908,                 1.2258,                0.62846,                 1.3461,              0.0090199,              0.0090199,              0.0090199
                    102,                0.90878,                0.59286,                 1.1097,                0.89289,                0.88557,                0.92676,                0.60454,                 1.2202,                0.58256,                 1.3343,                0.00901,                0.00901,                0.00901
                    103,                0.91311,                0.60173,                 1.1097,                0.87504,                0.92093,                0.92914,                0.60383,                 1.2131,                0.57129,                 1.3349,              0.0090001,              0.0090001,              0.0090001
                    104,                0.90492,                0.60076,                  1.104,                0.86664,                0.90483,                0.90218,                0.59216,                 1.2008,                0.62653,                 1.3449,              0.0089902,              0.0089902,              0.0089902
                    105,                 0.9105,                0.59521,                  1.111,                0.84749,                0.86625,                0.86311,                0.55231,                 1.2336,                0.70873,                 1.3411,              0.0089803,              0.0089803,              0.0089803
                    106,                0.90209,                0.60153,                  1.102,                0.80791,                0.85323,                0.82765,                0.53048,                 1.2344,                0.76207,                  1.364,              0.0089704,              0.0089704,              0.0089704
                    107,                0.88645,                0.58947,                 1.0966,                0.84036,                0.89759,                0.90024,                0.57939,                 1.2374,                0.62052,                 1.3642,              0.0089605,              0.0089605,              0.0089605
                    108,                0.89058,                0.57927,                 1.0985,                0.84173,                0.87579,                0.86986,                0.55352,                  1.257,                0.67771,                 1.3844,              0.0089506,              0.0089506,              0.0089506
                    109,                0.89553,                0.59039,                 1.1066,                0.85354,                 0.8632,                 0.8664,                0.56515,                 1.2231,                0.68212,                 1.3494,              0.0089407,              0.0089407,              0.0089407
                    110,                0.89069,                0.59257,                 1.1003,                0.83759,                  0.874,                0.86893,                0.56728,                 1.1947,                0.67084,                 1.3389,              0.0089308,              0.0089308,              0.0089308
                    111,                0.89358,                0.59216,                 1.1024,                0.79442,                0.88279,                0.85346,                0.54692,                 1.2351,                0.75161,                 1.3728,              0.0089209,              0.0089209,              0.0089209
                    112,                0.87952,                0.58204,                 1.0961,                0.84334,                0.89052,                0.89172,                0.58059,                 1.2523,                0.64088,                 1.3773,               0.008911,               0.008911,               0.008911
                    113,                   0.88,                0.57508,                 1.0973,                0.87899,                0.89554,                0.91055,                0.59885,                 1.2019,                0.60155,                 1.3406,              0.0089011,              0.0089011,              0.0089011
                    114,                0.88038,                0.58122,                 1.0965,                0.83073,                0.91556,                0.88852,                0.57834,                 1.2073,                0.65494,                 1.3427,              0.0088912,              0.0088912,              0.0088912
                    115,                0.87963,                0.57448,                  1.092,                0.85518,                0.88308,                0.88715,                0.58081,                 1.2285,                0.64773,                 1.3554,              0.0088813,              0.0088813,              0.0088813
                    116,                0.87014,                0.56014,                 1.0923,                0.87517,                0.85128,                0.87664,                0.56645,                  1.261,                0.67695,                 1.3811,              0.0088714,              0.0088714,              0.0088714
                    117,                0.88073,                0.57497,                 1.0903,                0.80155,                0.88451,                 0.8425,                0.54051,                 1.2331,                0.72905,                 1.3768,              0.0088615,              0.0088615,              0.0088615
                    118,                0.87136,                0.56758,                 1.0825,                0.83272,                0.89027,                0.87094,                0.56151,                 1.2391,                 0.6614,                 1.3671,              0.0088516,              0.0088516,              0.0088516
                    119,                0.87674,                0.56569,                 1.0899,                0.81384,                 0.9174,                0.88398,                0.57652,                 1.2233,                0.63988,                 1.3559,              0.0088417,              0.0088417,              0.0088417
                    120,                0.88363,                0.56428,                 1.0942,                0.81982,                0.89366,                0.86679,                0.55608,                 1.2344,                0.69186,                 1.3666,              0.0088318,              0.0088318,              0.0088318
                    121,                0.86798,                0.55759,                 1.0839,                0.80516,                0.89593,                0.85407,                0.54251,                 1.2674,                0.70819,                 1.3755,              0.0088219,              0.0088219,              0.0088219
                    122,                0.85693,                 0.5591,                 1.0779,                0.80291,                0.86363,                  0.839,                0.53473,                 1.2691,                0.74024,                 1.3926,               0.008812,               0.008812,               0.008812
                    123,                0.86124,                0.55374,                 1.0781,                0.85128,                0.90149,                0.89502,                0.57937,                 1.2284,                0.63111,                 1.3618,              0.0088021,              0.0088021,              0.0088021
                    124,                0.86477,                0.55719,                 1.0884,                0.88486,                0.87465,                 0.9091,                0.59209,                 1.2172,                0.61859,                 1.3609,              0.0087922,              0.0087922,              0.0087922
                    125,                0.87831,                0.56873,                 1.0921,                0.84544,                 0.8848,                0.88517,                0.57158,                 1.2248,                0.66214,                  1.343,              0.0087823,              0.0087823,              0.0087823
                    126,                0.85243,                0.55047,                 1.0775,                0.86757,                0.85695,                0.87259,                0.56039,                 1.2339,                0.69473,                 1.3716,              0.0087724,              0.0087724,              0.0087724
                    127,                0.85821,                0.56059,                 1.0842,                0.83021,                0.87078,                0.86444,                0.56291,                 1.2147,                0.70501,                  1.364,              0.0087625,              0.0087625,              0.0087625
